model_number,image_url
HS351-82,http://images.lbllighting.com/Configurator/8/products/large/cone_iii_pendant_amber.jpg
HS351-82,http://images.lbllighting.com/Configurator/8/products/large/cone_iii_pendant_blue.jpg
HS351-82,http://images.lbllighting.com/Configurator/8/products/large/cone_iii_pendant_opal.jpg
HS446-83,http://images.lbllighting.com/Configurator/8/products/large/finestra_pendant_opal.jpg
HS446-83,http://images.lbllighting.com/Configurator/8/products/large/finestra_pendant_red.jpg
HS170-84,http://images.lbllighting.com/Configurator/8/products/large/max_pendant_blue_green.jpg
HS170-84,http://images.lbllighting.com/Configurator/8/products/large/max_pendant_tortoise.jpg
HS459-85,http://images.lbllighting.com/Configurator/8/products/large/abbey_pendant_amber-purple.jpg
HS459-85,http://images.lbllighting.com/Configurator/8/products/large/abbey_pendant_amber-red.jpg
HS459-85,http://images.lbllighting.com/Configurator/8/products/large/abbey_pendant_blue-amber-red.jpg
HS268-86,http://images.lbllighting.com/Configurator/8/products/large/madeleine_pendant_blue.jpg
HS268-86,http://images.lbllighting.com/Configurator/8/products/large/madeleine_pendant_purple.jpg
HS268-86,http://images.lbllighting.com/Configurator/8/products/large/madeleine_pendant_red.jpg
HS268-86,http://images.lbllighting.com/Configurator/8/products/large/madeleine_pendant_tortoise.jpg
HS268-86,http://images.lbllighting.com/Configurator/8/products/large/madeleine_pendant_unlit.jpg
HS377-87,http://images.lbllighting.com/Configurator/8/products/large/flow_pendant_amber.jpg
HS377-87,http://images.lbllighting.com/Configurator/8/products/large/flow_pendant_black.jpg
HS235-88,http://images.lbllighting.com/Configurator/8/products/large/vortex_pendant_amber.jpg
HS235-88,http://images.lbllighting.com/Configurator/8/products/large/vortex_pendant_blue.jpg
HS235-88,http://images.lbllighting.com/Configurator/8/products/large/vortex_pendant_red.jpg
HS271-89,http://images.lbllighting.com/Configurator/8/products/large/gelato_pendant_amber.jpg
HS271-89,http://images.lbllighting.com/Configurator/8/products/large/gelato_pendant_blue.jpg
HS271-89,http://images.lbllighting.com/Configurator/8/products/large/gelato_pendant_clear.jpg
HS171-90,http://images.lbllighting.com/Configurator/8/products/large/ooni_pendant_amber.jpg
HS171-90,http://images.lbllighting.com/Configurator/8/products/large/ooni_pendant_blue.jpg
HS171-90,http://images.lbllighting.com/Configurator/8/products/large/ooni_pendant_clear.jpg
HS171-90,http://images.lbllighting.com/Configurator/8/products/large/ooni_pendant_purple.jpg
HS264-91,http://images.lbllighting.com/Configurator/8/products/large/crystal_ball_pendant_clear.jpg
HS265-92,http://images.lbllighting.com/Configurator/8/products/large/rocket_pendant.jpg
HS381-93,http://images.lbllighting.com/Configurator/8/products/large/hover_pendant_bronze.jpg
